,ALB,ARNT,ARNT2,ARNTL,ARNTL2,CLOCK,EPAS1,HIF1A,HPRT1,NPAS1,NPAS2,NPAS3,NPAS4,SIM1,SIM2,UBC
ACH-000411,0.07359134815485421,0.15620282528300494,0.017044254666119845,-0.28306393339298436,-0.17454437246177307,0.03056256573648404,0.0033027848202911436,0.23445424119487024,-0.12033678063256038,-0.13653893411492332,0.15873854348208566,-0.11309022057997335,-0.03602362570287178,-0.008592228389390373,-0.030189277932997763,-0.9518409084000193
ACH-000649,0.1478109225140587,-1.069149045844505,0.00696703178256467,-0.1061370001984507,-0.16991651493052307,0.01194037125483196,-1.0156690913161213,0.2474908854358476,-0.170388892370603,-0.15463655175078742,-0.026151067926023237,-0.12880669544327503,0.07139520666222672,0.11791333780991525,0.1149639438145155,
ACH-000792,0.010606545193949761,0.14066508403163797,-0.019576249576976602,-0.050197780191553396,-0.053816855319042164,-0.11698910307934107,-0.042308571446680224,0.19857071353871314,0.14386397586069277,-0.06434061136217364,-0.09037435024832928,-0.058970191750264564,-0.0945568365210456,0.09266551551871227,0.16479226404441033,
ACH-000433,0.3511461036196328,-0.30153683548076293,-0.12306413984920823,0.007569084955029504,-0.219130185801136,0.012479812900523905,-0.3247074244522337,0.408331562331428,-0.29411267632801513,0.10756230199468439,0.03320589198049011,-0.04209583305541427,-0.31162179855979183,0.040255937380306805,-0.020772712919011768,
ACH-000234,0.06753407175083244,0.12291407339292217,0.05180148698013743,-0.24429803131460243,-0.03667055909737686,-0.06828486773896647,-0.08128502436280927,0.3675193637743608,0.008747954219994376,-0.15381823766494843,-0.06131958696235948,-0.2427386048244291,-0.03763135676707661,0.03658471515956777,-0.10247665991918942,
ACH-001163,0.04167424804411153,-0.012991429857864382,0.07250145890245402,-0.11140669181313277,-0.15569674517446588,-0.04788761672529886,0.029406845248333605,0.3756470082355019,-0.23766095881299526,-0.27055015209471245,-0.04738309624472982,-0.10381707416914926,-0.2713103567344257,-0.07334673486830004,0.252573062420799,
ACH-000375,-0.0775577343755645,-0.0052436569889276405,0.06813048631805566,-0.02398726020756073,-0.10327706335597348,0.07153660841174458,0.2048924335115103,-0.02098170719104195,-0.029580972835636665,0.042800358866409316,0.0476134173925874,-0.11579873408680814,0.10686115488085825,-0.06261852967578861,-0.048346716039658746,
ACH-001310,0.14201165737490296,0.5608220381730895,0.05760870801505768,-0.19650253612798582,-0.05158311170609741,-0.0073754360966460965,-0.4121205864911651,0.11711480540928398,0.01650767659335195,-0.15213207649351326,-0.00638657458444696,-0.18795033539710856,0.0677793046599789,-0.0913768095309864,0.11251848763419733,
ACH-001532,0.1192907875110174,-0.11152231750027286,0.0432589125857674,-0.06205020554373976,-0.10964115136302995,0.05959934443192098,-0.03460469357053767,0.0009889444170871065,-0.009297341772058071,-0.12734751140604614,0.05118019115566204,-0.06930629111743494,-0.013495940284587463,-0.10623350190659737,0.08071755503955905,
ACH-001099,0.1410877034894301,0.03268612480289773,-0.09229525219448645,-0.052675061206950896,0.06587290220816211,-0.050438094818411244,-0.025920202709951934,0.19475142903156165,0.022625076979234965,-0.23492280278337144,0.008251126868574432,0.12711974612259033,-0.06427744245610077,-0.14395205391038704,0.14373254738811123,
ACH-000684,0.09931869798670781,-0.3311749469987578,0.07252083806257803,0.023986125556783533,-0.2610930176525984,0.07407818032504795,0.2212535989900207,0.4310217428718014,-0.19839466762757296,-0.17589013046991808,0.014060861571425994,-0.15570015389863648,-0.23203071361705374,-0.0413526477460563,0.26222428728386493,
ACH-000709,0.015973649256631896,0.5894016256436492,-0.10326008366727787,-0.1503622075341427,-0.02227935338252706,-0.18341550707236037,-0.3797947520564702,0.5717704240599475,0.17581720771523449,-0.2724465494930841,-0.10424191703904404,-0.09919382568578478,0.3420712773033224,0.09358659618264664,0.1514463839281414,
ACH-000250,0.1075071767709071,-0.02831678824398935,0.06193663814652391,-0.0801853969532845,0.03535032418184454,0.006700651190226663,0.04437328323468134,0.04829896916105321,0.05016242458569381,-0.14688157369796828,-0.006866233395503586,-0.17481118260058973,-0.1169757548375719,-0.02561190561864487,0.07992131408580445,
ACH-000313,0.06043432258534413,0.17995863869220113,-0.058090476725249814,-0.2538250693410122,0.010733753224326556,-0.07079479428451636,-0.4600678608307204,0.5437633347841162,0.027970977035848315,-0.12778602366106048,-0.1260632595125096,-0.13955148976655213,-0.00019144908636477276,-0.4866846834761295,0.045236399028129926,
ACH-002150,0.13713199825246103,0.061409541226930126,-0.011852886384297165,-0.08108511858824967,-0.009615657550611417,0.08926009992014167,0.06202123547007374,0.17851313726162188,-0.3306478950130189,0.030412001404780037,-0.01197360374317187,-0.3636183050412406,0.0003483924720287107,0.047565998582360956,0.06434067278941642,-0.4946478789019856
ACH-001128,-0.05356107112474083,-0.06888303662509403,-0.02927563616223793,0.04061706388831843,0.11015489004320511,-0.035919135560831,0.3691154256944209,0.01590887544317514,0.02063773893686356,-0.17505816211167036,-0.005119759787257292,-0.07542342644960057,-0.37055117586094194,0.0607387618123606,-0.03427466686664146,
ACH-000533,0.1761290063649682,-0.0029457420777281446,0.060269072379468706,0.027865117094226594,-0.16255009621317043,-0.0627328708225594,-0.1375500667355104,0.2989183816506933,0.11756041765107046,-0.19866071885359732,0.096540567656387,0.0053466434922632144,-0.09522571902544984,0.1433798396976141,-0.29038722507605724,
ACH-000159,0.11748012095803555,-0.02185023978168996,-0.03167420436951958,-0.24491181477427967,-0.09555280245409037,0.0033476656263452323,-0.9411871988944539,0.20955172638824426,-0.042170753262931626,-0.16128901857626532,0.02157893610397708,-0.15518038886790678,-0.027365458834523224,-0.035811519587189665,-0.030151801149309543,
ACH-000189,0.05027037875774107,-0.08680685883596997,0.1246973209759613,-0.455965964791984,-0.37847365158420065,0.13696210094573258,-0.7782972863436857,0.40314147504481246,0.06096492499757983,-0.032112836792915794,-0.00583535342268959,-0.47704312675197724,0.06084781661670731,0.2263843848538044,-0.0263684242830938,
ACH-002189,0.09722625966868197,-0.588405425378117,-0.03962393993310836,-0.029787841849681987,-0.06131226532734169,0.18460417167171309,-0.3545258670245941,-0.0013500462701042104,0.13701606835087485,-0.08927141111738363,-0.232400212353454,-0.27169668643448824,-0.09572242163900521,-0.14721252947784622,-0.01060906873147742,-1.0927946393079724
ACH-001194,0.07972530059561848,-0.08141041197861065,0.04476733589771618,-0.2818535642628901,-0.1320862472917107,-0.10284410156148024,-0.10553370570259529,0.6582989282628839,-0.024305780143350223,-0.34323520084312964,-0.04351954154489837,-0.13269613450092313,0.03586519790017735,-0.2290156725253681,0.21105085583355435,
ACH-000385,0.13329988152797537,-0.09513573426395999,-0.11176218156053096,-0.11866427766690044,-0.10791356447606809,0.07465092588413397,-0.15305909995441308,0.25077712646591016,-0.006271749368768266,-0.2406388135611097,-0.12973285978087715,-0.050637242475399385,-0.24581519132073693,-0.057192863124884204,-0.1800045208052711,
ACH-000246,0.10599923031283645,0.09713385472336565,0.04755846952987746,-0.10061324168775604,-0.04420076038357328,-0.061987754647724,-0.03097976531483724,1.1043853972498296,0.011978715383288497,-0.004558970585830435,0.032395945401469034,-0.12989980350814154,-0.0967532690459973,-0.03280981276643715,-0.025644823974381434,
ACH-000272,0.07676830019076443,-0.46116133790556346,-0.03747512235882159,-0.2362766528734499,-0.023222858908567547,0.04592718031450967,-0.48516945905188646,0.02781217862850187,-0.025681940312151662,-0.10308207794350105,-0.006692239366238138,-0.2534259908103754,-0.009669669500133371,0.06706119296660393,-0.001833044021357061,
ACH-000907,0.1562679579195405,0.2934851581697823,0.2404719769480439,-0.17335791584675267,-0.22815619148467214,-0.09431173749396674,-0.19197715318788175,0.5850722775733167,-0.19004688270830017,-0.05862512674727678,0.05726738607637025,-0.23230729614426276,-0.08581839131335768,-0.07048002702922301,0.2656608294202608,
ACH-002533,0.1261148464601543,0.11187594393156013,-0.03919429608544432,-0.09931773117430746,-0.08565473564519019,-0.0027329307907691773,-0.10650370531846856,0.017294037129763032,0.09118952876457134,-0.027943342916389585,-0.022019570506059703,-0.09407701632972727,-0.015241889036015796,-0.027024594369183315,0.21580879280088222,
ACH-001398,0.049826982451975255,0.06424277298560294,-0.09736515263181646,-0.3027188559822408,0.09038023730868994,0.047625460897550716,-0.6870353670755072,0.3292431953389746,0.1240715574751879,-0.3632241740185862,-0.12168303511810742,-0.13980772760763055,0.007730134090255664,-0.20870775640888564,0.05606300417173932,
ACH-001211,0.14935376303062214,-0.26850354630127554,0.171176138537878,-0.031695294789738884,-0.04811827442506016,-0.04717024463509303,-0.20941393383640117,0.09835031829991774,0.21292030231796152,-0.28524795771474615,-0.1610304458284517,-0.035903625555211094,-0.05842292881449963,0.0915720007875253,-0.016545865544642838,
ACH-001212,0.06377405623118641,-0.32920361283077926,0.08233353298505759,0.020662082784624447,-0.13654787742069116,-0.03404821971141861,-0.04982692166107162,0.16113842921406668,-0.1297610146634552,-0.004564802545182461,0.047183996442292625,0.06191205411831219,-0.09324886101405928,-0.165817949439323,-0.10363909235254798,
ACH-000597,0.17720121892758073,0.03954361294346105,-0.010213737592668241,-0.04673404588392417,-0.058265411637097336,-0.10342918963308845,-0.22130032650880277,0.125797552865794,0.06627961750921461,-0.2769752580421343,-0.1548362819441049,-0.01352126718790203,-0.15129439199648032,-0.1300580944768345,-0.04467932104979186,
ACH-000459,0.02024331154944632,0.5506225100967755,0.16419148220905325,-0.44314665845973794,0.044168725690594046,-0.0002580341965877052,-0.18179930279102754,0.6697022796864185,0.0746461724173056,-0.06218787658858814,0.14895556364714072,-0.4637487536909518,-0.1316445487217633,-0.2949917974212988,-0.22603557627083454,
ACH-000317,0.12138686073329556,-0.3369243198579846,-0.09128979684690713,-0.24140662411712827,-0.12675986651893484,0.08239647954524074,-0.7455158357005632,0.07826422197084565,0.008883398639564114,-0.09963057827601765,-0.042474079006032436,-0.12095157920505387,-0.15434051521309383,0.040840249661785746,0.025335675377118935,
ACH-000495,0.07823845657511455,-0.7830003264450573,0.01049769969090071,-0.25261540462662485,-0.0587661840084977,-0.1501295392486085,-1.1365546799047401,0.5128523483180469,-0.15790789169507172,-0.10286568052601813,-0.04644858606710001,-0.1325282604188428,-0.21812275939335196,0.19459563152855733,0.07003048188441281,
ACH-001687,-0.016880507084307078,-0.5342663976685642,-0.07670004328635699,-0.11485990748995162,-0.030926759268741617,-0.10346582443730906,-0.6163648048850205,0.26110596090281124,0.07095366531129231,-0.08806951753846803,-0.10227896942375997,-0.09737042139120967,-0.020460764823644437,-0.05693024584890959,0.2957091014349825,
ACH-001688,0.08717981049993159,0.15015204253398323,0.11316049258357609,-0.16254361241865595,-0.1621609814807919,0.12412657151213868,0.3664007262539072,0.7649576815182635,-0.03534168058554711,-0.1561920154796839,0.11386743430828325,-0.16040652638351457,-0.02709486054477618,-0.04388404759584901,0.08371492143102449,
ACH-000262,0.13134172310385736,-0.4411482095235888,-0.05994642581066057,-0.10603552880211872,-0.313622685974156,0.1158071336671907,-0.1396724609446895,0.16776313718249214,-0.0029431627269307543,-0.038236579537550566,-0.05099448881765674,-0.18409459680551976,-0.2564400086421043,-0.08139099981865576,0.10568143901905327,
ACH-000484,0.13383179483400134,-0.13386659462506958,-0.004646362927636401,-0.44441558381371404,-0.25070139659876733,-0.08408850612467272,-0.2700237463934108,-0.03287800875830427,-0.27127523619518357,0.12410638700806986,-0.03829998707082709,-0.1000994012239898,-0.24950329947677397,0.03028100698981328,0.12893084065873206,
