Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
MIR6859-1,40.51271783,32.86382965,22.20461471,25.22929175,21.44788897,43.79870803,38.28331555,35.03372495,52.53765325,27.38546628,22.24133406,30.63136396
LOC107985730,0,0,0,0,0,0,0,0.92194013,0.938172379,0,0,0
FAM138A,0,0.995873626,0,0,2.042656092,3.98170073,3.022367017,0,0.938172379,3.042829586,2.02193946,0
LOC100996442,77.07297539,80.6657637,80.74405349,73.66953191,76.59960346,53.75295986,78.58154244,76.52103082,64.73389418,81.1421223,80.87757838,51.05227327
LOC729737,147.2291453,135.4388131,122.1253809,108.9905404,138.9006143,119.4510219,118.8797693,94.0378933,102.2607894,98.38482329,99.07503352,135.7990469
LOC102725121,0,0,2.018601337,2.01834334,1.021328046,0,1.007455672,1.843880261,0.938172379,0,6.065818379,0
MIR6859-2,8.893035622,5.975241755,15.13951003,8.07337336,9.191952415,8.958826643,17.12674643,14.75104209,14.07258569,10.14276529,9.098727568,7.147318258
LOC107985721,0,1.991747252,0,0,1.021328046,3.98170073,0,0,0,0,0,0
OR4F29,1.976230138,0,0,0,0,0,0,0,0,0,0,0
LOC100132287,203.5517042,188.2201153,162.4974076,222.0177674,185.8817044,169.222281,144.0661611,57.16028808,52.53765325,230.240772,169.8429146,175.6198201
LOC105378947,0,0,0,1.00917167,1.021328046,1.990850365,1.007455672,0.92194013,0,1.014276529,0,1.021045465
MIR6723,78.06109046,61.74416481,59.54873945,58.53195686,77.6209315,51.76210949,47.3504166,35.95566508,30.02151614,36.51395503,53.58139568,60.24168246
OR4F16,0,1.991747252,0,0,0,0,2.014911345,0,0,0,0,0
LOC100133331,358.6857701,332.621791,403.7202674,373.3935179,366.6567685,330.4811606,309.2888914,105.1011749,97.56992746,308.3400647,309.3567373,288.9558667
LOC107984841,130.4311891,112.5337197,123.1346816,114.0363987,104.1754607,105.5150693,103.7679342,78.36491108,96.63175508,114.6132477,116.2615189,110.2729103
LOC107984847,134.3836494,104.5667307,112.0323742,114.0363987,89.87686805,124.4281478,95.70828887,69.14550978,88.18820367,130.8416722,135.4699438,77.59945537
LOC107984849,32.60779728,29.87620878,22.20461471,20.1834334,25.53320115,13.93595256,18.1342021,14.75104209,15.01075807,20.28553057,24.26327351,21.44195477
LOC100288069,151.1816056,84.6492582,137.2648909,111.0088837,104.1754607,124.4281478,132.9841487,140.1348998,129.4677884,134.8987783,104.1298822,135.7990469
LOC105378580,33.59591235,34.85557691,41.38132741,23.21094841,23.49054506,32.84903102,34.25349286,25.81432365,32.83603328,23.32836016,33.36200108,35.73659129
LOC100287934,22.72664659,25.89271427,10.09300669,13.11923171,19.40523288,11.94510219,18.1342021,10.14134143,15.94893045,15.21414793,9.098727568,21.44195477
FAM87B,28.655337,28.88033515,22.20461471,16.14674672,18.38390483,23.89020438,34.25349286,18.43880261,23.45430949,4.057106115,17.18648541,22.46300024
LINC00115,79.04920553,62.74003843,73.67894881,70.6420169,67.40765104,84.61114051,78.58154244,56.23834795,65.67206656,121.7131834,61.66915352,96.99931922
LINC01128,864.6006855,847.4884556,924.5194124,673.1175039,683.2684628,593.2734088,1073.947747,933.0034119,950.3686204,839.8209658,866.4010584,858.6992364
LOC107984850,0,0,0,0,1.021328046,0,0,0,0,0,0,0
FAM41C,0.988115069,2.987620878,3.027902006,2.01834334,0,5.972551095,2.014911345,3.687760522,4.690861897,3.042829586,1.01096973,2.042090931
LOC284600,1254.906138,1142.267049,1179.872482,1752.931191,1869.030324,2106.319686,195.4464004,247.0799549,221.4086815,738.3933129,688.470386,669.8058253
LOC100130417,244.0644221,244.984912,234.1577551,391.558608,414.6591867,376.270719,47.3504166,53.47252756,51.59948087,136.9273314,147.6015805,164.3883199
LOC107985728,150.1934905,170.29439,150.3857996,272.4763509,326.8249747,328.4903102,21.15656912,47.94088678,48.78496373,83.17067536,70.76788109,119.4623195
SAMD11,1564.186154,1517.711406,1371.639609,2275.682116,2427.696766,2558.242719,178.319654,249.8457753,242.9866463,692.7508691,736.996933,885.2464185
NOC2L,5930.666645,5801.959744,5794.395138,4862.189106,4397.838566,4537.147982,7408.829014,9373.365306,9417.374345,5012.554605,5216.603806,5334.962557
KLHL17,820.1355073,694.1239172,812.4870382,668.0716456,687.353775,808.2852482,884.5460803,1050.089809,1059.196616,820.5497117,675.3277795,838.2783271
PLEKHN1,535.5583674,520.8419063,551.0781651,530.8242984,520.8773035,517.6210949,689.0996798,773.5077694,747.7233864,573.0662387,497.3971071,669.8058253
PERM1,18.77418631,12.94635714,19.1767127,36.33018012,18.38390483,19.90850365,13.09692374,28.58014404,15.94893045,14.1998714,15.16454595,7.147318258
HES4,142.2885699,158.3439065,186.7206237,135.2290038,188.9456885,210.0347135,263.9533861,610.3243663,615.4410809,285.0117046,200.1720065,320.6082761
ISG15,714.407195,620.4292689,624.7571139,356.2375995,351.3368478,364.3256168,840.2180307,1449.289885,1461.672567,908.7917697,890.6643319,1111.918512
AGRN,59564.56448,57567.47082,55261.23021,74068.15472,74845.9832,76123.14998,48817.27206,60206.37827,57976.23853,76677.27702,73631.95833,82048.15047
LOC100288175,253.9455728,241.9972911,236.1763565,228.0727974,213.4575616,208.0438631,313.3187141,519.9742335,413.7340193,385.4250809,326.5432227,445.1758229
RNF223,43.47706304,46.80606042,52.48363477,51.46775517,52.08773035,57.73466059,38.28331555,66.37968939,60.98120466,94.32771717,57.6252746,47.98913688
LOC105378948,9.881150691,9.958736259,15.13951003,23.21094841,30.63984138,46.78498358,13.09692374,10.14134143,6.567206656,11.15704182,15.16454595,18.37881838
C1orf159,868.5531457,773.7938073,777.1615148,818.4382244,865.064855,897.8735146,1027.604786,1334.047369,1238.387541,877.3491974,795.6331773,997.5614197
LINC01342,0,1.991747252,0,0,0,0,0,0,0,2.028553057,1.01096973,0
MIR200B,0,0.995873626,0,1.00917167,1.021328046,0,0,0,5.629034277,2.028553057,0,2.042090931
MIR200A,1.976230138,1.991747252,0,4.03668668,1.021328046,0,5.037278361,0,2.814517138,5.071382644,2.02193946,1.021045465
MIR429,1.976230138,2.987620878,3.027902006,4.03668668,3.063984138,2.986275548,4.029822689,2.765820391,9.381723794,4.057106115,3.032909189,1.021045465
TTLL10-AS1,0,0,0,5.04585835,0,0,2.014911345,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0,1.014276529,0,0
TNFRSF18,0,6.971115381,5.046503343,5.04585835,0,0,2.014911345,0.92194013,0,10.14276529,2.02193946,8.168363724
TNFRSF4,0,0,0,0,0,0.995425183,0,4.609700652,2.814517138,1.014276529,0,0
SDF4,8058.078388,7655.280562,7201.36027,7881.630743,6994.054459,7700.609212,6417.492633,10859.5328,10854.65443,7374.80464,7961.386622,6862.446573
B3GALT6,193.6705535,213.1169559,197.822931,203.8526774,176.689752,169.222281,178.319654,331.8984469,303.9678509,151.1272028,141.5357622,175.6198201
FAM132A,0.988115069,8.962862633,10.09300669,7.06420169,5.10664023,9.954251825,1.007455672,7.375521043,9.381723794,3.042829586,8.087757838,4.084181862
UBE2J2,1995.99244,2250.674395,2312.307832,1839.719955,1717.873773,1603.629969,2830.950439,2625.685491,2597.799319,1909.882704,2036.093036,2148.279659
LOC101928895,49.40575345,40.83081866,54.5022361,77.70621859,63.32233886,42.80328285,55.41006198,87.58431239,70.36292846,47.67099685,47.5155773,54.11540967
SCNN1D,106.7164275,135.4388131,85.79055683,142.2932055,168.5191276,178.1811077,123.9170477,192.6854872,151.9839255,128.8131191,101.096973,106.1887284
ACAP3,1479.208258,1173.139131,1292.914156,949.6305415,864.043527,1007.370285,1126.335442,1829.129219,1914.809826,1234.374535,1178.790705,1243.633377
MIR6726,0,0,1.009300669,1.00917167,0,0,2.014911345,0,0,1.014276529,0,1.021045465
PUSL1,650.1797155,650.3054777,598.5152965,526.7876118,552.5384729,625.1270146,851.3000431,1355.251992,1087.341788,624.7943417,593.4392314,813.773236
CPSF3L,2948.535366,2920.897345,2685.749079,3122.377147,2872.995794,2940.485989,3188.597203,3640.741575,3368.977014,3050.943798,3265.432227,3121.335988
MIR6727,0.988115069,2.987620878,4.037202674,2.01834334,4.085312184,2.986275548,1.007455672,10.14134143,2.814517138,2.028553057,2.02193946,7.147318258
CPTP,352.7570797,343.5764009,314.9018086,350.1825695,313.5477101,336.4537117,491.6383681,590.9636236,586.3577371,344.8540198,343.7297081,447.2179139
TAS1R3,12.8454959,5.975241755,6.055804012,17.15591839,4.085312184,10.94967701,20.14911345,22.12656313,15.01075807,7.099935701,3.032909189,9.189409189
DVL1,2985.095624,2689.854664,3014.781097,1781.187998,1660.679403,1849.499989,3086.84418,4945.286859,4859.732925,3128.028815,3238.136045,3676.784721
MIR6808,1.976230138,1.991747252,3.027902006,0,2.042656092,1.990850365,2.014911345,2.765820391,3.752689518,3.042829586,3.032909189,2.042090931
MXRA8,84.97789594,70.70702744,58.53943878,73.66953191,89.87686805,96.5562427,27.20130315,70.98939004,62.85754942,47.67099685,51.55945622,57.17854606
AURKAIP1,1691.652998,1627.257505,1658.280999,1516.78502,1354.280989,1427.439712,2238.566504,3325.43805,3159.764574,1608.642575,1509.377807,1764.366564
CCNL2,7642.081944,6515.005261,7002.528039,6133.745411,6420.068098,6986.889356,6557.528971,7216.947341,7323.373594,6738.853257,5053.837679,5151.174373
LOC148413,730.2170361,813.6287524,777.1615148,745.7778642,726.1642408,704.7610292,698.1667809,997.5392211,983.2046536,617.694406,618.7134746,680.01628
MRPL20,1030.604017,997.8653731,1107.202833,1243.299498,1170.441941,1119.85333,1256.297223,2382.293297,2308.842226,858.0779433,984.6845168,1044.529511
LOC107984868,0,0,0,0,0,0,0,0,0,0,0,2.042090931
ANKRD65,0,0,0,0,0,0,0,0.92194013,0,0,0,0
LOC105378585,0,0,0,2.01834334,0,0,0,0,0,0,0,0
VWA1,26.67910687,39.83494504,20.18601337,107.9813687,121.5380375,96.5562427,33.24603719,46.09700652,23.45430949,50.71382644,53.58139568,84.74677363
ATAD3C,98.81150691,117.5130879,101.9393675,74.67870358,71.49296322,66.69348723,153.1332622,332.8203871,260.8119215,95.3419937,82.89951784,99.04141015
ATAD3B,1606.675102,1483.851703,1566.434638,1362.381755,1252.148184,1316.947516,3265.163834,4971.101183,4734.017827,1531.557558,1357.732347,1534.631335
ATAD3A,3280.542029,3079.241251,3435.659476,2251.461996,2086.573198,2218.802732,4648.400472,8066.976141,7927.556606,3027.615438,3322.046532,3380.681536
TMEM240,2.964345207,6.971115381,1.009300669,5.04585835,3.063984138,10.94967701,4.029822689,11.98522169,2.814517138,6.085659172,1.01096973,4.084181862
