"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACKR3",742.123847797869,-3.23179939572321,0.107629175834986,-30.0271684759356,4.33805065150625e-198,5.74010862207307e-194
"OAS2",610.8308900991,-3.87078804748679,0.130226816192372,-29.7234330122058,3.82445987601366e-194,2.53026265397064e-190
"TGM2",27019.5891146886,-1.75961534259766,0.0598000175402557,-29.4249970982556,2.63044491471668e-190,1.16020157038437e-186
"OAS1",1111.7514987496,-2.5231923647041,0.0866363492550359,-29.1239460849909,1.78636339733082e-186,5.90929011837036e-183
"F3",1369.78452152724,-2.02058826704787,0.0780002919049664,-25.9048808369808,5.86768840940714e-148,1.5528250606655e-144
"OAS3",2517.44325779408,-1.73103316545459,0.0683654632639917,-25.320287215348,1.90994556790243e-141,4.2120666257475e-138
"PTHLH",826.138359305351,-2.15679887283069,0.0924012272192803,-23.3416691286179,1.67463249856908e-120,3.16553388872373e-117
"SERPINE1",27355.7280131767,-1.55918653000079,0.0677442570420718,-23.0157742970371,3.2403213927268e-117,5.35949158357014e-114
"TRIM9",1562.82112978483,-1.5660955816381,0.0688560417154474,-22.7444904269999,1.62700370223572e-114,2.39205699866478e-111
"NDRG1",33675.02445239,-1.608031614466,0.0713580494471719,-22.5346912776318,1.89755836277804e-112,2.51084922562791e-109
"VEGFA",7386.59606374686,-1.3529415490545,0.0605189128811587,-22.3556816314807,1.0631612586662e-110,1.27888634315192e-107
"RABL6",8842.50240924352,1.18443491578616,0.055832637149964,21.2140242024538,7.08821959422669e-100,7.8159434725673e-97
"CFH",8790.51634063344,1.19984169252866,0.0581570972204611,20.631045046494,1.44493565319495e-94,1.47072219715966e-91
"SEMA7A",3221.56462973029,-1.65217724132878,0.0819155629476866,-20.1692716484644,1.8230375164817e-90,1.72303088700614e-87
"SERPINA1",4036.87200551088,-1.15314385350151,0.057466815329767,-20.0662564452949,1.45564653418271e-89,1.28407432935371e-86
"IFI27",371.941011986634,-2.62834732775433,0.131229663137227,-20.0286068326324,3.10215486299188e-89,2.56548207169429e-86
"MGAT4B",14412.6889112564,1.14096021065773,0.057207268595178,19.944322437969,1.67909539443515e-88,1.30692883877446e-85
"SLC2A1",56598.1811913465,-1.11805739485357,0.056468407944909,-19.7996974865017,2.99486761334173e-87,2.20156045887432e-84
"TULP3",1238.09180709427,1.49148457436818,0.0772266748595186,19.3130751399216,4.16989178656222e-83,2.90400042735743e-80
"PCK2",3790.87165682843,-1.19347784274626,0.0624285500141979,-19.1175006062904,1.8055488510522e-81,1.19455111985613e-78
"EGLN3",3024.13697499498,-1.07259663268326,0.0567797627237383,-18.8904740215626,1.36613544063351e-79,8.60795435736316e-77
"MX1",416.685844516901,-2.41193767090987,0.127836643426402,-18.8673419941479,2.11681336534727e-79,1.27316702046705e-76
"TNFSF10",15754.6560906823,-0.89244637165737,0.0477402879524866,-18.6937785659269,5.56298704508735e-78,3.20041063393895e-75
"LAMC2",3157.64476741916,-1.07237073134778,0.0574970958411928,-18.6508677639941,1.24244295985293e-77,6.8500021853225e-75
"EDN1",414.915081023547,-2.36528300410376,0.127716059794873,-18.5198557479982,1.42819182266785e-76,7.55913367901639e-74
"CDH6",21012.5455825947,1.01730329858153,0.0552415987866031,18.4155296176591,9.86199594514964e-76,5.01899732100846e-73
"LPCAT1",12791.3279469597,-1.01794703963285,0.0558932511440977,-18.2123426137531,4.11937635975108e-74,2.01879955526764e-71
"IFI6",973.755138188386,-2.08216547670233,0.115093316610413,-18.0911067473222,3.74490357781149e-73,1.76973443362863e-70
"SOD2",5224.47965176889,1.31481551160055,0.072859378990891,18.0459335477582,8.49173855387231e-73,3.87457532913236e-70
"HELZ2",2603.83782045934,-1.07779597597994,0.060208805333765,-17.900969301836,1.15887271059854e-71,5.11140123554661e-69
"GJB2",997.560078990888,-1.4609728230249,0.0816563232157321,-17.8917292071195,1.36796581573247e-71,5.83900763670064e-69
