id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SLC7A2	215.380466354502	-3.00846687915953	0.214630955884218	-14.0169290434621	1.22815186092257e-44	1.94097120100203e-40
NDRG1	7081.72047346439	-1.92722082408016	0.185409976094012	-10.394375020592	2.63005445806034e-25	2.07826903275928e-21
ERRFI1	1630.06373397952	-1.61042150270185	0.183337332483986	-8.78392567887128	1.57866021219377e-18	8.31638199783679e-15
PIK3R6	340.199943217902	-1.44428184199978	0.171784623238485	-8.40751526401005	4.1878787461357e-17	1.65463089259822e-13
ZNF395	950.77690717215	-1.71974732211354	0.210472033940523	-8.17090655663793	3.06080646451915e-16	9.67459707305213e-13
LOC105378179	1217.87902001144	1.18934007121957	0.150847298022386	7.88439757829186	3.16056513301893e-15	8.32492856037185e-12
EGFR	301.498303189681	-1.15140049290563	0.148367149431956	-7.76048132833933	8.46076604090704e-15	1.91019923586421e-11
MAP1LC3C	222.486222507737	1.59625581786762	0.206921606759979	7.71430225611583	1.21645878091896e-14	2.40311432170541e-11
BRINP1	502.575274366139	-1.12585102764413	0.150262067775579	-7.49258308707442	6.75311511784921e-14	1.18584701469432e-10
LOC101927505	200.32502223057	-1.96216603690523	0.26253300891638	-7.47397839610409	7.78059200323396e-14	1.2296447601911e-10
ARTN	518.946458456315	-1.76641569809118	0.242118317748549	-7.29567144905444	2.97173280639489e-13	4.2695695702059e-10
IRS2	706.997349034111	-1.72501830955227	0.237724461141279	-7.25637698901796	3.97595975213888e-13	4.83354368636945e-10
LOC107987206	1511.31475019412	1.65148991731681	0.227406297436661	7.26228752647798	3.80598082685071e-13	4.83354368636945e-10
VCAM1	1102.74448129115	1.04359060708968	0.145203442678693	7.18709272891649	6.61854625437286e-13	7.47139321457919e-10
SORBS1	516.200571894027	-1.68001962987946	0.235140117141556	-7.14475968755293	9.01534691471056e-13	9.49856950933904e-10
PTHLH	1081.66753101346	-1.32914882133612	0.188273487013319	-7.05967070786813	1.6689763064462e-12	1.55155891453387e-09
SLC6A8	1960.63279186513	-0.884393409038118	0.125190876001342	-7.06435993808875	1.61358000860719e-12	1.55155891453387e-09
EGLN3	2225.13348691105	-1.32507515249653	0.18860853503909	-7.02553122647338	2.13253309878158e-12	1.87236406073022e-09
LPCAT1	1053.70203097007	-1.41702963607124	0.206152316372294	-6.87370222662062	6.25567213814155e-12	5.20340223532574e-09
CCND1	924.346914711446	-1.54187996546397	0.224642101037648	-6.86371770181035	6.70911517880561e-12	5.30154281429220e-09
FRMD4A	324.287742403969	-1.19164019433251	0.175156084445908	-6.80330459602455	1.02246145098596e-11	7.69475274827722e-09
ATP1B1	3022.39059797639	-0.889757151260221	0.13279826141487	-6.7000662642756	2.08325050277761e-11	1.43907522273834e-08
DDIT4	4884.53387512055	-1.0283139288121	0.153495925073667	-6.69929138717256	2.09432612775132e-11	1.43907522273834e-08
TGFA	306.498255499972	-1.71791184247251	0.256925402316266	-6.68642270085005	2.28691853454042e-11	1.50593585499487e-08
EPAS1	883.017076790386	-1.21321143627847	0.185406397493142	-6.54352521100761	6.00853499524208e-11	3.51699581721503e-08
SLC2A1	5685.96993300294	-1.50267274226277	0.229533626204828	-6.5466344391816	5.88481745274817e-11	3.51699581721503e-08
TGFB2-OT1	145.981802443566	1.59048760555718	0.242847504644011	6.54932653266776	5.77971325345818e-11	3.51699581721503e-08
LOC105374793	3580.39433572441	-0.808914830913587	0.124111489840568	-6.51764660913112	7.14190050563679e-11	4.03109269968157e-08
F3	1285.69511727991	-1.47535357038822	0.229328171548809	-6.43337257879899	1.24803223931997e-10	6.80134534834923e-08
ACKR3	2227.06715071757	-1.27305692944695	0.201883339216992	-6.30590386697844	2.86516839863149e-10	1.46068133457974e-07
SYTL3	637.933650568708	-0.959692943892005	0.152181892486116	-6.30622295605608	2.85927073137891e-10	1.46068133457974e-07
PRODH	1198.21305145835	-1.23791330566744	0.199191262528799	-6.21469681928678	5.14238410255194e-10	2.53969494864784e-07
CLU	3032.59731920637	1.28892329767422	0.208398261111647	6.18490428278425	6.21401627697411e-10	2.97594888609997e-07
VEGFA	5364.34064825295	-1.02530945481092	0.166878953703748	-6.14403094012145	8.04531604694182e-10	3.7396522001726e-07
MMP7	7251.85959143933	1.23160190073254	0.202337945703511	6.08685581169847	1.15149583593932e-09	5.19949719748143e-07
PNCK	112.796098313372	-1.77935302542158	0.293102891845937	-6.0707453761898	1.27317918205437e-09	5.58925660921867e-07
LOC105369370	1052.64449304911	-1.24253668733882	0.205321474490106	-6.05166454422033	1.4335675294893e-09	6.12327060433755e-07
LACAT1	94.1673781001268	-1.94298657622292	0.322923402051091	-6.01686518809656	1.77827054603214e-09	7.20609941269025e-07
SEMA6A	690.872432075797	-1.01435683861438	0.168529822936456	-6.01885660911685	1.75653380703912e-09	7.20609941269025e-07
FILIP1L	1971.12487621916	0.623460029921119	0.104590468778259	5.96096410317189	2.50754052914786e-09	9.90729263066319e-07
HILPDA	132.265608720962	-1.24659647960266	0.210061583982551	-5.93443339790398	2.94861994728942e-09	1.13658511334054e-06
ADM	607.235830410204	-1.02905676577633	0.173693546976531	-5.92455381152058	3.131464589781e-09	1.17832538992617e-06
CXCL1	1496.58706247821	1.17499150087604	0.199268596741537	5.89652117839756	3.71245128957905e-09	1.36445535303505e-06
ARHGEF6	397.490350423514	-0.886068804793887	0.150786879282321	-5.87629911177407	4.19539976778357e-09	1.50691131659208e-06
SLC6A6	4254.18212709541	-0.630924341349039	0.107738194633753	-5.85608793143243	4.73897374910628e-09	1.66432758068613e-06
CDK18	1887.13542301081	-1.09856232017432	0.187878733230987	-5.8471882436193	4.99951631025263e-09	1.71765990798332e-06
SLCO4A1	1772.39292736844	-1.13201829958179	0.195019127755501	-5.80465266464025	6.44995693138374e-09	2.16883232645933e-06
CDH6	14300.6830650269	0.62622226050757	0.10829753363417	5.78242402659835	7.36318258515775e-09	2.42432786616319e-06
TCN1	367.560982630397	1.37466825273916	0.238673689801431	5.75961369635188	8.4306656550906e-09	2.71914775536841e-06
HMCN1	104.20998360262	1.3954367579931	0.244986058651701	5.69598435793852	1.22662123728942e-08	3.87710440682441e-06
SLC16A1	640.063999987566	-1.08366797621423	0.190876014170645	-5.67733971668865	1.3680561260702e-08	4.23936451302223e-06
LEFTY1	252.031980681551	1.41224232897588	0.250154004027384	5.64549160213034	1.6470991145133e-08	5.00591430880158e-06
TANC2	319.302993080405	-1.16220060403419	0.209137237435853	-5.55711942207645	2.74263123267623e-08	8.17821584928589e-06
LOC102724660	432.756617817395	-1.45207982068037	0.2620828783543	-5.54053675615298	3.0154593607309e-08	8.82524439573911e-06
RNA45S5	85887.5361235679	1.36042204235716	0.246343272460729	5.52246476539778	3.34276848396144e-08	9.60529329464119e-06
STOM	487.982405526957	0.812853253664538	0.150853325880561	5.38836813122781	7.11003020641385e-08	2.00655209611008e-05
SERPINE1	11064.5852963062	-1.27180999154981	0.237056135438507	-5.36501613509058	8.09419833412533e-08	2.24422299074591e-05
ANO6	341.325652843075	-0.959119358522555	0.181375862795051	-5.28802092925854	1.23646833814449e-07	3.3691630372475e-05
CTTNBP2	3026.15233344517	-0.675391080905177	0.127887993860125	-5.2811140476867	1.28400728427853e-07	3.43939849504032e-05
DLG5	985.031534363568	-0.946318883438654	0.179401379493323	-5.27486960307279	1.32850515261045e-07	3.48112468536716e-05
PIGR	112.794040700246	2.05128021341128	0.389369017527038	5.26821632198518	1.37755716610416e-07	3.48112468536716e-05
RNF212	110.18826934432	-1.30286828579072	0.247344439567117	-5.26742500486731	1.38350651176906e-07	3.48112468536716e-05
SAA1	154.207845841132	1.70119169158788	0.322998594712159	5.26687025714122	1.38769207275456e-07	3.48112468536716e-05
JUN	2011.22929890965	-0.711910897592865	0.135751304828854	-5.24422876443357	1.56937385168646e-07	3.87537255500825e-05
CFB	1245.73285615436	0.760658631408797	0.146057415795189	5.20794255647683	1.90946013883631e-07	4.64263200525677e-05
ITPR1	555.447382167753	-0.91075795799416	0.175768940460792	-5.18156368017318	2.20033441654112e-07	5.26880077560847e-05
CD300A	27.1773450503981	-2.74265009084661	0.531242028446388	-5.16271293306266	2.4339625680389e-07	5.74124543660997e-05
LOC105373949	82.1164528837564	-1.56032805636018	0.303641219527119	-5.13872279524561	2.76612097448357e-07	6.42879057069682e-05
FAT4	107.031587944466	-1.27342945504105	0.248322378212977	-5.12813007110006	2.92634239127669e-07	6.70259639880243e-05
PHKA2	2723.86190979203	-0.64963712144929	0.127153441891455	-5.10908011443257	3.23731072586665e-07	7.30892267308523e-05
DOCK5	122.980778784323	-1.2017383752249	0.23544956194125	-5.10401618638288	3.32519813577079e-07	7.40161004756642e-05
IPO13	2535.50125199169	-0.58916044954126	0.115979126495836	-5.07988348715848	3.77666423137491e-07	8.28977798786794e-05
CCL2	430.016290570359	1.1697865683114	0.232067724578043	5.04071201817646	4.63802966559683e-07	9.94206448590033e-05
KRBA1	1579.01779491304	-0.654688176355737	0.129898355453628	-5.04000357871698	4.65523140949522e-07	9.94206448590033e-05
APLN	22.7824858426065	-2.98235712853002	0.592346916374632	-5.03481498103017	4.78310586674019e-07	0.000100789606823949
TRIB3	1023.96231620629	-1.075377342645	0.213897999269926	-5.02752408304641	4.96853104257364e-07	0.00010331929552215
FZD8	436.192830163222	-1.10909218151897	0.221562451122551	-5.00577681777634	5.56371921738316e-07	0.000114193530534446
TNFRSF11B	64.489827228811	1.78732082613798	0.359954715092767	4.9654046778561	6.85579606975007e-07	0.000138908975751705
CDCA7	434.381076888754	-0.678094328410331	0.13703356644609	-4.94838123239752	7.48332297510167e-07	0.000147833045373134
SLC7A1	156.597168569206	-1.4491869077707	0.292772537364568	-4.94987310222386	7.42618854761685e-07	0.000147833045373134
EGR2	136.956899331817	-1.17569915104492	0.238397223547033	-4.93168139105012	8.15248135708441e-07	0.000159063969589336
ITGAV	894.652107772342	-0.997243216786461	0.202581143133011	-4.92268530705097	8.53646666169104e-07	0.000164524779416299
FCAMR	172.427017930567	1.70219377921564	0.350595386031594	4.85515168491764	1.20294626558348e-06	0.000229052563629896
EPO	61.3824394738127	-1.4368795715895	0.29676642781143	-4.84178612178637	1.28677223512993e-06	0.0002364668419069
GPR160	207.261523194263	1.07991803161676	0.223035490693773	4.84191116067482	1.28596259093619e-06	0.0002364668419069
MYC	409.424394227812	-0.793556586732596	0.163776742680086	-4.84535577974398	1.2638499145502e-06	0.0002364668419069
SEMA3A	335.557643440523	0.908842165541894	0.188373726177374	4.82467583980433	1.40231152632932e-06	0.000254737142093201
